object_id,object_system,object_code
IDFM:monomodalStopPlace:473875,netex_monomodal_stopplace,monomodalStopPlace:473875
IDFM:monomodalStopPlace:473875,netex_zder_quay,412808
IDFM:monomodalStopPlace:473875,netex_zder_quay,473919
IDFM:monomodalStopPlace:473875,netex_zder_quay,473920
IDFM:monomodalStopPlace:473875,netex_zder_quay,monomodalStopPlace:473875
IDFM:monomodalStopPlace:473875,source,FR::monomodalStopPlace:473875:FR1
IDFM:monomodalStopPlace:53783,netex_monomodal_stopplace,monomodalStopPlace:53783
IDFM:monomodalStopPlace:53783,netex_zder_quay,412797
IDFM:monomodalStopPlace:53783,netex_zder_quay,473964
IDFM:monomodalStopPlace:53783,netex_zder_quay,473965
IDFM:monomodalStopPlace:53783,netex_zder_quay,monomodalStopPlace:53783
IDFM:monomodalStopPlace:53783,source,FR::monomodalStopPlace:53783:FR1
IDFM:monomodalStopPlace:53784,netex_monomodal_stopplace,monomodalStopPlace:53784
IDFM:monomodalStopPlace:53784,netex_zder_quay,412800
IDFM:monomodalStopPlace:53784,netex_zder_quay,473911
IDFM:monomodalStopPlace:53784,netex_zder_quay,473914
IDFM:monomodalStopPlace:53784,netex_zder_quay,monomodalStopPlace:53784
IDFM:monomodalStopPlace:53784,source,FR::monomodalStopPlace:53784:FR1
IDFM:monomodalStopPlace:473890,netex_monomodal_stopplace,monomodalStopPlace:473890
IDFM:monomodalStopPlace:473890,netex_zder_quay,412819
IDFM:monomodalStopPlace:473890,netex_zder_quay,473994
IDFM:monomodalStopPlace:473890,netex_zder_quay,473997
IDFM:monomodalStopPlace:473890,netex_zder_quay,480170
IDFM:monomodalStopPlace:473890,netex_zder_quay,monomodalStopPlace:473890
IDFM:monomodalStopPlace:473890,source,FR::monomodalStopPlace:473890:FR1
IDFM:monomodalStopPlace:473843,netex_monomodal_stopplace,monomodalStopPlace:473843
IDFM:monomodalStopPlace:473843,netex_zder_quay,412839
IDFM:monomodalStopPlace:473843,netex_zder_quay,473991
IDFM:monomodalStopPlace:473843,netex_zder_quay,473995
IDFM:monomodalStopPlace:473843,netex_zder_quay,monomodalStopPlace:473843
IDFM:monomodalStopPlace:473843,source,FR::monomodalStopPlace:473843:FR1
IDFM:monomodalStopPlace:58267,netex_monomodal_stopplace,monomodalStopPlace:58267
IDFM:monomodalStopPlace:58267,netex_zder_quay,41021
IDFM:monomodalStopPlace:58267,netex_zder_quay,471827
IDFM:monomodalStopPlace:58267,netex_zder_quay,472632
IDFM:monomodalStopPlace:58267,netex_zder_quay,monomodalStopPlace:58267
IDFM:monomodalStopPlace:58267,source,FR::monomodalStopPlace:58267:FR1
IDFM:monomodalStopPlace:58288,netex_monomodal_stopplace,monomodalStopPlace:58288
IDFM:monomodalStopPlace:58288,netex_zder_quay,41023
IDFM:monomodalStopPlace:58288,netex_zder_quay,471169
IDFM:monomodalStopPlace:58288,netex_zder_quay,472408
IDFM:monomodalStopPlace:58288,netex_zder_quay,monomodalStopPlace:58288
IDFM:monomodalStopPlace:58288,source,FR::monomodalStopPlace:58288:FR1
IDFM:monomodalStopPlace:58270,netex_monomodal_stopplace,monomodalStopPlace:58270
IDFM:monomodalStopPlace:58270,netex_zder_quay,412801
IDFM:monomodalStopPlace:58270,netex_zder_quay,473962
IDFM:monomodalStopPlace:58270,netex_zder_quay,473963
IDFM:monomodalStopPlace:58270,netex_zder_quay,monomodalStopPlace:58270
